0,1,2
ДДТ,"ДДТ. Лучшее, Часть 1","Далеко, далеко..."
Ногу Свело!,В Темноте,В темноте
Ногу Свело!,Бокс,(Белые) каллы
Чайф,ЧАЙФ. Новая коллекция. Лучшие песни. Часть 1,Я был солдатом
Кино,Последний герой,Спокойная ночь
Чайф,Субботним вечером в Свердловске,Пиво
Ночные Снайперы,Рубеж,Парфюмерная
Найк Борзов,Головоломка,Дела людей которые были до нас
Nautilus Pompilius,Live concert in Tallin,Separation
Крематорий,Рок' N' Roll,Кащенко
Би-2,Spirit,Любовь и ненависть
Ночные Снайперы,Рубеж,Ограда
Чиж & Co,Дорожные песни,О.К.
Несчастный случай,"Кранты. Кино, которого не будет.",Она. Последний раз в Шереметьево D
ДДТ,"ДДТ. Лучшее, Часть 1",Жизнь красивая
Крематорий,Три источника,Геена огненная
Агата Кристи,Майн Кайф?,Эпилог. На краю
Андрей Макаревич,"Песни, которые я люблю",Дружба
Сплин,Акустика,Мотоциклетная цепь
Агата Кристи,Триллер,Kill love
Ю-Питер,НауРок,Интро
Борис Гребенщиков,СОЛЬ,Селфи
Кино,Группа крови,"Закрой за мной дверь, я ухожу"
Гарик Сукачев,"Города, где после дождя дымится асфальт","Города, где после дождя дымится асфальт"
Агата Кристи,Позорная звезда,Вольно
Зоопарк,Blues de Moscou,Женщина
ДДТ,"ДДТ. Лучшее, Часть 2","Расскажи, как ты любила"
Пилот,Содружество,Пробуждение
Чиж & Co,Дорожные песни,Снова Поезд
Аквариум,Радио Африка,С утра шёл снег
